subject_id,ns_F3_exponent,sd_F3_exponent,ns_F3_offset,sd_F3_offset,ns_F3_oscillatory_share,sd_F3_oscillatory_share,ns_F3_low_quality_fit,sd_F3_low_quality_fit,ns_F4_exponent,sd_F4_exponent,ns_F4_offset,sd_F4_offset,ns_F4_oscillatory_share,sd_F4_oscillatory_share,ns_F4_low_quality_fit,sd_F4_low_quality_fit
sub-01,1.4340325194246357,1.3984914906315358,0.6951621639760958,0.7865951254707029,0.7255604195275935,0.6665045468639196,False,False,1.412293103651858,1.3962865011775303,0.7216477132541292,0.7218452423896067,0.7376064298143123,0.6702194821599987,False,False
sub-02,1.2173029281396592,1.6389212033286977,0.8517945288238677,1.2250345490034176,0.27776824493420843,0.02575918937833987,False,False,1.308764953676655,1.6307804260095322,0.7528440035006159,1.2149962353962014,0.5220761090198264,0.020080557474106798,False,False
sub-04,1.268990500667486,1.280269915898326,0.7635675243548936,0.7583272746058631,0.4347726440883263,0.4930574782513372,False,False,1.335755825939056,1.3216311174463906,0.7342861515521265,0.8826825995865966,0.4315247436005794,0.5639582486825545,False,False
sub-05,1.1513645008806959,0.8125463265436279,0.5460477756698922,0.5875395526739449,0.6088327257144528,0.590352598383017,False,True,1.3002500509598818,1.3845681208815748,0.7080177877832879,0.8287417809081843,0.6209589446415621,0.613574532747592,False,False
sub-06,1.6229127429367642,1.6867652177476582,1.2353677330760673,1.2413442769237775,0.3603592614085815,0.49453123127646903,False,False,1.4780283229523157,1.7704904185665984,1.2320583863397065,1.5680940668373047,0.2692828566794275,0.5147016698388184,False,False
sub-07,1.254295604693231,1.611685705519241,0.8288011709540285,1.2813470069242991,0.8629278927714779,0.36973374104720197,False,False,1.4101137984476622,1.6656661898948295,0.8993434080567737,1.4038409082405603,0.8607062263534845,0.46836127782199916,False,False
sub-08,-0.2568177351879569,1.3900520242957835,-0.546223301685934,0.7364041937526403,0.13657080195681226,0.3178035522486693,True,False,0.4218444426381381,1.4160278926300962,-0.21405302677799676,0.7865705528284965,0.26214364887379954,0.38805078521646824,False,False
sub-09,1.7397984212962363,1.6921970779632822,1.4363766717035649,1.1634649877486654,0.07141884958862271,0.2947789187711554,False,False,1.664010686988753,1.679674604507614,1.3072157371965447,1.2783799115227406,0.009114895262026343,0.1626678773346329,False,False
sub-10,0.3415556753803796,0.8751765807978269,0.29570386627284817,0.5614487658636456,0.29302345355297016,0.00044405348168057403,True,True,0.7566782000233998,0.7480430871948225,0.4352750913388148,0.2946129520216871,0.07356369459557,0.03104817889712985,True,False
sub-11,1.625556442340465,1.2396189576097056,1.5443712662140292,0.7609401010216551,0.4152148753750398,0.737749939916209,False,False,1.5723307410645333,1.1695101984066183,1.4753781154137877,0.7408709027585906,0.31745714884399806,0.6742372745889369,False,False
sub-12,1.632393002171299,1.5923565559924722,0.9032241882163544,0.7453350156784223,0.2865600322992995,0.26492385969746285,False,False,1.5837939928354734,1.5740792590492791,1.0094717422842858,0.8131148853087236,0.1731501721280134,0.17236317210982857,False,False
sub-13,1.289246705749516,1.2311047841682985,0.8187742983989343,0.8098694447430171,0.5575959531189467,0.5274994260500401,False,False,1.4042214031232654,1.4807123857161166,0.9216915730150466,1.0213152403400405,0.44704035806971676,0.46468417711736465,False,False
sub-14,1.9828953848070772,1.3563246978448806,2.020069127468333,0.566556418611985,0.19163308851609653,0.25371608982718047,False,False,2.2300357074627026,1.3593860713132824,1.5052374099428933,0.5845023983766066,0.22212578328888513,0.2798494555004379,False,False
sub-15,1.4569551207291027,1.5907138390468272,0.9423564980141534,1.0586398588181065,0.4526834092884552,0.1729246274856145,False,False,1.3868651269048742,1.5773210595888445,0.9878588055122481,1.126826998716422,0.33634931334959695,0.15421812205295893,False,False
sub-16,1.3068221828361886,1.2219879397528486,1.0759688771380491,0.8748040415897204,0.11126460384489019,0.4830259998589777,False,False,1.326927489299159,1.3260693116665545,1.1326008519973594,0.9398120004833129,0.11656542794773354,0.35319986660927494,False,False
sub-17,1.1519395948215405,1.2192550850165622,0.8531590341624632,0.8790197153306528,0.5290040292918489,0.4818929040880269,False,False,1.6262666352389559,1.7425638900804057,1.2955711497026943,1.3061947557433315,0.7250350592350848,0.6838280524102303,False,False
sub-18,1.1337773726449558,0.9296657816281501,0.8983029648982138,0.6338538839677595,0.03883952748075546,2.112483199874292e-07,False,True,0.9396704202330778,0.4575640332909019,0.8600058747638104,0.37617620549796804,0.014589871003032941,0.24102494346662554,False,True
sub-19,1.2179881091659253,1.2613924677243922,0.728788827235131,0.8459563425855078,0.7910687033198472,0.7579073668751637,False,False,1.3086609403769447,1.2973949816820407,0.8436620488067016,0.8030643032061067,0.8056465896850349,0.7510088994673951,False,False
sub-20,1.5702171012140975,1.4794614419510907,1.5529975263931246,1.2316441663094722,0.014326618022337326,0.15991942361119724,False,False,1.5651360608347162,1.5102092399330211,1.5518294042241698,1.3182048198168577,0.0017744014515856913,0.0014026891453431454,False,False
sub-21,1.1423382634744619,1.2454998270256061,1.0680270854012295,0.8968330373426636,0.14190324789031586,0.11792489463939154,False,False,1.7623399892873952,1.4234761902354558,1.6171821552260963,0.9699166154338109,0.07113308158148608,0.003958701290581282,False,False
sub-22,1.26510834089062,1.27413674398433,0.6143878076380124,0.687114310238603,0.12466565027615331,0.0537775015161733,False,False,0.9215166308672041,1.204312445205355,0.27240014319226635,0.6121302224004798,0.16518205840961728,0.11202804835332017,False,False
sub-23,0.5881399239007503,0.6561980729722949,-0.0421680456529851,-0.0036873970989455707,0.17749069741467535,0.04907471779109983,False,False,1.0905764175320385,0.6844419604770192,0.6010650697562165,0.05036281959032666,2.3240647507244895e-05,0.006199976404330155,True,False
sub-24,1.4488996252048472,1.5349183376759523,0.5606469684139361,0.6563032299822139,0.42668337279908597,0.37430848925906135,False,False,1.4738794510943432,1.490640334429705,0.6039477742309944,0.5405550297700531,0.4418777272136206,0.2888537735682961,False,False
sub-25,0.9132021817939737,1.4209478601729695,0.6903079487135937,0.9408845446151854,0.5363670158650821,0.5537525459105479,False,False,1.2257739194259425,1.343919385696809,0.8515905520665366,0.8193137525445172,0.45140091540861477,0.4668427833315352,False,False
